,Route Number,Early Stops,Late Stops,On-Time Stops,Early_Percentage,Late_Percentage,On_Time_Percentage
0,10,21.924036281179138,17.403854875283447,66.10022675736961,20.871500162702844,17.905657372526374,61.222842464770785
1,11,46.923209401276466,94.95117009421539,174.10951271401075,16.066882450547173,30.585249659171122,53.347867890281705
2,12,46.02452830188679,30.717735849056602,159.5690566037736,20.049811666021554,13.73272555781132,66.21746277616712
3,14,59.83682156793189,96.1371053565094,221.08761972330615,16.4154309911033,29.164649990868966,54.41991901802774
4,15,36.18739515935778,54.59297867241793,125.53989935298347,16.859914855420325,25.92865144123827,57.211433703341406
5,16,50.112415003290195,77.59223513928494,170.1885281860057,18.833234550668745,26.353740126062664,54.81302532326859
6,17,57.582758010267305,59.739953974154716,201.29297220747034,18.99557443742667,21.0185771448676,59.98584841770574
7,18,77.32189130068988,123.35537607269056,272.9313478041393,16.6409279174132,25.134801068376696,58.22427101421011
8,19,41.77342229635808,78.74450931331666,158.100361412288,16.168581771947853,29.11300624263661,54.718411985415536
9,20,35.18479277033344,67.29728887503896,124.41601745091928,16.13512613656231,31.4555075300626,52.40936633337509
10,21,109.19870009285052,89.86768802228413,302.8885793871866,22.471017170425643,19.636647432358565,57.89233539721579
11,22,39.19230769230769,34.126550868486355,138.4181141439206,14.26692669435719,20.291401084936204,65.44167222070661
12,23,47.00967606226336,27.65628944047118,111.50063104753892,24.73642406955759,15.612895587390751,59.65068034305166
13,24,62.79383313180169,73.04927448609432,240.30441354292623,15.353908018632128,20.137848635392462,64.50824334597542
14,25,29.924116424116423,25.39293139293139,79.88045738045739,23.828563350045375,17.91758164375606,58.25385500619857
15,26,34.71771428571429,62.21180952380952,133.60990476190477,17.648014302977934,29.593332488830512,52.758653208191554
16,28,17.65809768637532,61.37360754070266,100.92373607540702,17.223836350614636,27.380868699391275,55.39529494999409
17,29,15.690079365079365,43.828968253968256,91.29087301587302,10.560127690364304,28.75796044823618,60.68191186139952
18,30,13.161383285302593,17.55043227665706,43.34293948126801,15.842819394828057,23.584530015131346,60.572650590040595
19,31,28.29787234042553,28.28590425531915,83.5811170212766,23.589733761267073,18.03985356676186,58.37041267197107
20,32,29.535751840168246,33.36435331230284,103.16561514195584,19.078151498589556,20.654809299249113,60.267039202161335
21,33,45.54158336665334,32.86525389844062,145.73950419832067,19.66064128497454,17.420266069329976,62.91909264569548
22,34,36.14589665653495,33.61702127659574,99.67477203647417,17.614302101571994,19.033182802269163,63.35251509615884
23,35,37.7465564738292,32.1267217630854,94.98071625344353,18.462587344697162,20.865546941158208,60.67186571414463
24,36,58.838815789473685,67.08815789473684,152.05263157894737,21.842652134677685,28.79281098587746,49.364536879444856
25,38,32.565336062777206,67.79222108495394,125.93654042988742,13.306224244206755,32.89152127686376,53.802254478929484
26,40,70.75691699604744,54.3794466403162,125.17588932806323,28.760346644353575,22.24841468331192,48.99123867233451
27,41,19.530172413793103,16.662068965517243,39.41379310344828,30.98242093988956,23.46276700285124,45.5548120572592
28,42,36.90594059405941,44.45420792079208,98.58415841584159,19.41842398047271,25.097499923964644,55.48407609556264
29,43,23.30655681428081,80.59011328527292,120.12633024373498,14.640700723163063,34.2496154149654,51.109683861871545
30,44,28.84362405287764,73.77317427051426,107.21634692890537,14.135076851063694,34.85232982591071,51.0125933230256
31,45,16.985747303543913,85.29352850539291,76.11209553158706,9.2089342498403,50.3578208290944,40.433244921065295
32,46,14.296030871003307,23.074972436604188,48.781146637265714,15.178900824791485,21.616391648482296,63.20470752672622
33,47,82.60583563535911,125.26536602209944,231.49205801104972,18.93731600895856,30.109202429004153,50.95348156203729
34,48,25.41304347826087,85.4505928853755,141.27667984189722,10.070842513960748,35.03852045936463,54.89063702667462
35,49,18.107111501316943,38.43020193151887,72.75592625109745,15.898487627576259,28.18620783281743,55.91530453960631
36,50,27.996145610278372,23.929764453961457,62.06381156316917,30.27989854046193,18.441028472966053,51.27907298657201
37,53,7.270394133822181,15.606782768102658,33.83868010999083,15.032126608858633,30.26574176013504,54.702131631006324
38,54,25.339313572542903,40.84165366614665,64.198127925117,23.165733514974015,29.572156199361874,47.262110285664114
39,55,35.93541268206562,34.97793144034133,114.55686332205384,22.55960738901201,19.125654399596694,58.3147382113913
40,56,6.052455357142857,44.677455357142854,40.823660714285715,9.814549561141742,48.85103869318429,41.33441174567396
41,57,45.48814229249012,79.02766798418972,112.24901185770752,18.977794817833814,33.26943427466251,47.752770907503674
42,58,20.206851119894598,124.05797101449275,132.74044795783925,7.109168334515746,49.924375637747765,42.966456027736484
43,59,29.69098712446352,86.55793991416309,112.87660944206009,18.65667799685566,39.88880081156893,41.45452119157541
44,60,60.63928675825782,190.80298158433206,215.95089155217772,12.056389586170996,44.45673901224497,43.48687140158403
45,635,7.554162487462387,58.7728184553661,81.4543630892678,5.208758345055615,43.23045611056674,51.56078554437764
46,641,26.08257299270073,16.018704379562045,92.05748175182482,23.27597827885871,10.849136679933444,65.87488504120785
47,642,15.885895404120443,39.11938721605917,144.35182250396196,7.997569810908535,18.962326719938925,73.04010346915254
48,649,27.342326559215138,51.91135248773651,153.70357393132446,10.552518627634292,23.230822572614194,66.21665879975151
49,65,48.52818733738074,64.46227233304423,123.93928881179532,15.589806252866381,26.880095544098253,57.53009820303537
50,650,34.418069391961524,46.812092064582615,124.57471659223634,15.81823417477485,26.815204091526372,57.366561733698774
51,66,47.90149429807314,75.85725521038144,168.98073141958318,18.16884116800989,26.43001038481598,55.40114844717414
52,662,41.312603374131655,28.84651008931525,164.19020840224943,15.977931353579061,14.995287602234676,69.02678104418627
53,67,54.06531678641411,56.38667537557152,212.47028086218157,14.886516092977612,21.484813276787495,63.62867063023489
54,671,36.41324200913242,34.97488584474886,134.98238747553816,19.44354591146202,17.11493767843836,63.441516410099624
55,672,22.9796992481203,62.474812030075185,124.63195488721804,11.556530663583702,30.5986662951109,57.84480304130539
56,676,34.5512447462011,112.95796960879404,173.70546395085677,10.670816570873884,38.255323962928685,51.073859466197426
57,677,24.33993683606087,16.592018374964113,66.59890898650589,21.07558637234875,17.30310231120421,61.621311316447034
58,68,19.999448428019857,25.311086596800884,82.39161610590182,15.09872128306325,23.63126977422138,61.27000894271537
59,690,40.84038054968288,10.980972515856237,90.6321353065539,36.178766312700006,5.636971897115142,58.18426179018485
60,691,55.6743961352657,24.76328502415459,140.91400966183573,43.800445025980565,8.045174766372783,48.15438020764665
61,693,22.465895249695492,12.05115712545676,65.19062119366626,25.349066718451944,16.16606836239741,58.484864919150645
62,694,18.355567509413664,23.364712210866056,79.15599784830555,18.267979737929256,21.130406700932397,60.60161356113834
63,71,31.29647696476965,28.30948509485095,107.55790424570912,20.708229127410174,15.776604608778527,63.5151662638113
64,74,56.876254180602004,67.25380899293943,149.28651059085843,19.870733781197146,26.107094348751502,54.02217187005135
65,75,60.20245757753072,98.5737273259216,161.84523112931538,20.286543730998748,29.712992185313045,50.00046408368821
66,77,77.74802477044629,150.35404655135596,327.65855221012174,18.59191183660326,27.20675816523105,54.20132999816569
67,78,58.07261987491314,60.980889506601805,187.58165392633774,17.63684444558426,20.734503397521053,61.62865215689469
68,79,37.94910792629424,32.92307692307692,183.16525299795262,17.919964532476374,14.093367888456036,67.98666757906759
69,82,9.987146529562983,28.133033419023135,92.26221079691517,10.427245663302722,17.975620286149393,71.59713405054788
70,83,14.832695984703633,34.93499043977055,111.26609305289993,9.763082637370758,25.720639078960062,64.51627828366918
71,85,32.8290830168204,47.833966359196964,142.80086814975584,17.456551985738862,23.794973140154443,58.74847487410669
72,86,11.48913043478261,22.206521739130434,65.27173913043478,11.713650864639778,22.459201936294832,65.8271471990654
73,87,11.183823529411764,12.644607843137255,42.55514705882353,21.67827824622378,18.130795929989464,60.19092582378675
74,88,37.90530303030303,21.987121212121213,160.03181818181818,16.95615009142989,10.190796253998784,72.85305365457133
75,89,7.969042476601872,42.58675305975522,58.99568034557235,5.9548866919608745,40.82109302237269,53.22402028566644
76,90,29.806432400238236,44.33650982727814,113.35646217986897,19.20154905285825,22.301233958030185,58.49721698911157
77,91,10.645401382243488,13.533227006911217,86.01648059542796,12.898608406221022,12.054110933581391,75.04728066019759
78,92,11.434146341463414,28.16445993031359,70.05087108013937,9.270917803896753,32.40377769930884,58.32530449679441
79,93,23.741076487252126,39.42152974504249,137.1314447592068,16.19268178160433,18.87736119634906,64.92995702204661
80,95,70.54706853839802,47.88398018166804,177.3137902559868,23.682688967919535,17.915444906070967,58.40186612600949
81,96,30.22222222222222,18.12491781722551,82.78895463510848,23.867545863222297,15.631175303435944,60.50127883334176
82,97,12.783225806451613,16.691612903225806,60.03677419354839,15.053745862839879,18.249045865192812,66.69720827196731
83,98,28.377075522228175,16.053026245313337,78.68826995179433,23.90026722769457,12.744758384466891,63.35497438783854
84,BLUE,42.714046511627906,76.2353488372093,197.80837209302325,13.69972810125234,25.646272565416126,60.653999333331534
